Thu Apr 14 2022 15:03:01 GMT+0300 (East Africa Time) 	e34eb76a-7cec-430b-8e29-5d6e853cbe33 	GET	undefined	/refresh
Thu Apr 14 2022 15:03:01 GMT+0300 (East Africa Time) 	8d09ee2b-39be-4047-bbe7-493d717dca8e 	POST	undefined	/auth
Thu Apr 14 2022 16:54:18 GMT+0300 (East Africa Time) 	e1f08790-3820-4ee2-bcc3-39b584fd311c 	GET	undefined	/players/
Thu Apr 14 2022 16:54:18 GMT+0300 (East Africa Time) 	66d3c3e8-e888-4f9a-aada-068f63d69030 	POST	undefined	/auth
Thu Apr 14 2022 16:56:40 GMT+0300 (East Africa Time) 	4caa42af-7286-4bf6-8a86-54e02bf9319e 	GET	undefined	/players/
Thu Apr 14 2022 16:56:40 GMT+0300 (East Africa Time) 	05a9dc96-f195-4c93-b527-df828c973f5d 	GET	undefined	/players/
Thu Apr 14 2022 17:03:15 GMT+0300 (East Africa Time) 	21de5034-2484-4225-9dbb-65347c8e601b 	GET	undefined	/players/
Thu Apr 14 2022 17:03:15 GMT+0300 (East Africa Time) 	f2e9d0fb-9e7e-4d5b-ab3a-40997bc3697c 	GET	undefined	/players/
Thu Apr 14 2022 17:03:15 GMT+0300 (East Africa Time) 	413f6f29-f2cf-4232-9989-2c2983490c1d 	POST	undefined	/auth
Thu Apr 14 2022 17:03:30 GMT+0300 (East Africa Time) 	e1026891-1091-40d4-9af1-b1090b5c7fde 	GET	undefined	/players/
Thu Apr 14 2022 17:03:30 GMT+0300 (East Africa Time) 	d63fbf70-2956-4667-872f-5374bf47362b 	GET	undefined	/players/
Thu Apr 14 2022 17:12:48 GMT+0300 (East Africa Time) 	a16ef166-d3f3-4986-8f70-e96881f87779 	GET	undefined	/players/
Thu Apr 14 2022 17:12:48 GMT+0300 (East Africa Time) 	347102f6-32c5-447d-8e11-ccb8e98a2854 	GET	undefined	/players/
Thu Apr 14 2022 17:12:48 GMT+0300 (East Africa Time) 	c0edec8e-9419-4a34-9341-5ca4423710ff 	GET	undefined	/players/
Thu Apr 14 2022 17:12:48 GMT+0300 (East Africa Time) 	c317c575-ca55-47a2-9690-433a34f13772 	GET	undefined	/players/
Thu Apr 14 2022 17:12:48 GMT+0300 (East Africa Time) 	faebcd0b-6790-42bd-9ba4-91c2ecce1aa6 	GET	undefined	/refresh
Thu Apr 14 2022 17:12:48 GMT+0300 (East Africa Time) 	54562d1f-fe18-421f-b463-d304394e58a2 	POST	undefined	/auth
Thu Apr 14 2022 17:22:23 GMT+0300 (East Africa Time) 	a151b9b2-0332-41b9-8b72-f6a81d0e7ede 	GET	undefined	/refresh
Thu Apr 14 2022 17:22:23 GMT+0300 (East Africa Time) 	8df85941-a901-44d4-968a-88b99ef1e874 	GET	undefined	/refresh
